CustomerID,BranchID,CustomerName,CustomerEmail
173139,112233,Romilly Haas,hkemo1599w@poliden.me
065476,223344,Scarlett Nairn,gofficial.accounl@mixely.com
300100,445566,Kaif Craft,ymehdiamini157o@mymailcr.com
353155,778899,Habiba Wise,5ayoub.zitouli@jembott.com
746988,135792,Arun Summers,kfouad.li@shoppyhunt.com
555337,112233,Cora Cannon,6anettl@best566.xyz
133015,223344,Yahya Morin,jahmedaldaher32a@itgire.tk
124897,445566,Lisa-Marie Sadler,tazizsou@jp727.com
627054,778899,Yusef Welch,0abamatindep@walmartshops.com
663877,135792,Jazmine Velez,vskiddy.koshensw@vidred.gq


